Feature,ExpectedBehavior,ComparableRows,MaxAbsoluteError,Passed
diff__quality__CompactGames,antisymmetric,500,0.0,True
diff__quality__DetailedGames,antisymmetric,500,0.0,True
diff__quality__MissingDetailedGames,antisymmetric,500,0.0,True
diff__quality__DetailedCoverageRate,antisymmetric,500,0.0,True
diff__quality__HasAnyDetailedData,antisymmetric,500,0.0,True
diff__quality__HasCompleteDetailedCoverage,antisymmetric,500,0.0,True
diff__quality__FlaggedPossessionGames,antisymmetric,500,0.0,True
diff__quality__FlaggedPossessionRate,antisymmetric,253,0.0,True
diff__quality__RichFeatureCoverageEligible,antisymmetric,500,0.0,True
diff__rating__elo_standard,antisymmetric,500,0.0,True
diff__rating__elo_standard_preseason,antisymmetric,500,0.0,True
diff__rating__elo_standard_delta,antisymmetric,500,0.0,True
diff__rating__elo_standard_z,antisymmetric,500,0.0,True
diff__rating__elo_standard_percentile,antisymmetric,500,0.0,True
diff__rating__elo_mov_log,antisymmetric,500,0.0,True
diff__rating__elo_mov_log_preseason,antisymmetric,500,0.0,True
diff__rating__elo_mov_log_delta,antisymmetric,500,0.0,True
diff__rating__elo_mov_log_z,antisymmetric,500,0.0,True
diff__rating__elo_mov_log_percentile,antisymmetric,500,0.0,True
diff__rating__elo_mov_538,antisymmetric,500,0.0,True
diff__rating__elo_mov_538_preseason,antisymmetric,500,0.0,True
diff__rating__elo_mov_538_delta,antisymmetric,500,0.0,True
diff__rating__elo_mov_538_z,antisymmetric,500,0.0,True
diff__rating__elo_mov_538_percentile,antisymmetric,500,0.0,True
diff__rating__elo_season_reset_mov,antisymmetric,500,0.0,True
diff__rating__elo_season_reset_mov_preseason,antisymmetric,500,0.0,True
diff__rating__elo_season_reset_mov_delta,antisymmetric,500,0.0,True
diff__rating__elo_season_reset_mov_z,antisymmetric,500,0.0,True
diff__rating__elo_season_reset_mov_percentile,antisymmetric,500,0.0,True
diff__rating__margin_ridge_a5p0,antisymmetric,500,0.0,True
diff__rating__margin_ridge_a5p0_z,antisymmetric,500,0.0,True
diff__rating__margin_ridge_a5p0_percentile,antisymmetric,500,0.0,True
diff__rating__margin_ridge_a25p0,antisymmetric,500,0.0,True
diff__rating__margin_ridge_a25p0_z,antisymmetric,500,0.0,True
diff__rating__margin_ridge_a25p0_percentile,antisymmetric,500,0.0,True
diff__rating__bt_c0p25,antisymmetric,500,0.0,True
diff__rating__bt_c0p25_z,antisymmetric,500,0.0,True
diff__rating__bt_c0p25_percentile,antisymmetric,500,0.0,True
diff__rating__bt_c1p0,antisymmetric,500,0.0,True
diff__rating__bt_c1p0_z,antisymmetric,500,0.0,True
diff__rating__bt_c1p0_percentile,antisymmetric,500,0.0,True
diff__rating__colley,antisymmetric,500,0.0,True
diff__rating__colley_z,antisymmetric,500,0.0,True
diff__rating__colley_percentile,antisymmetric,500,0.0,True
diff__rating__pagerank_binary,antisymmetric,500,0.0,True
diff__rating__pagerank_binary_z,antisymmetric,500,0.0,True
diff__rating__pagerank_binary_percentile,antisymmetric,500,0.0,True
diff__rating__pagerank_margin,antisymmetric,500,0.0,True
diff__rating__pagerank_margin_z,antisymmetric,500,0.0,True
diff__rating__pagerank_margin_percentile,antisymmetric,500,0.0,True
diff__adj__off_rtg_a10p0,antisymmetric,253,0.0,True
diff__adj__def_rtg_a10p0,antisymmetric,253,0.0,True
diff__adj__net_rtg_a10p0,antisymmetric,253,0.0,True
diff__adj__net_rtg_a10p0_z,antisymmetric,253,0.0,True
diff__adj__net_rtg_a10p0_percentile,antisymmetric,253,0.0,True
diff__adj__off_rtg_a50p0,antisymmetric,253,0.0,True
diff__adj__def_rtg_a50p0,antisymmetric,253,0.0,True
diff__adj__net_rtg_a50p0,antisymmetric,253,0.0,True
diff__adj__net_rtg_a50p0_z,antisymmetric,253,0.0,True
diff__adj__net_rtg_a50p0_percentile,antisymmetric,253,0.0,True
diff__schedule__opponent_strength_mean,antisymmetric,500,0.0,True
diff__schedule__opponent_strength_median,antisymmetric,500,0.0,True
diff__schedule__opponent_strength_std,antisymmetric,500,0.0,True
diff__schedule__opponent_strength_pct_mean,antisymmetric,500,0.0,True
diff__schedule__quality_wins,antisymmetric,500,0.0,True
diff__schedule__elite_wins,antisymmetric,500,0.0,True
diff__schedule__bad_losses,antisymmetric,500,0.0,True
diff__schedule__quality_win_points_sum,antisymmetric,500,0.0,True
diff__schedule__quality_win_points_mean,antisymmetric,500,0.0,True
diff__schedule__bad_loss_penalty_sum,antisymmetric,500,0.0,True
diff__schedule__top_quartile_games,antisymmetric,500,0.0,True
diff__schedule__top_decile_games,antisymmetric,500,0.0,True
diff__schedule__owp,antisymmetric,500,0.0,True
diff__schedule__wp,antisymmetric,500,0.0,True
diff__schedule__oowp,antisymmetric,500,0.0,True
diff__schedule__rpi,antisymmetric,500,0.0,True
diff__conference__team_count,antisymmetric,500,0.0,True
diff__conference__strength_mean,antisymmetric,500,0.0,True
diff__conference__strength_median,antisymmetric,500,0.0,True
diff__conference__strength_std,antisymmetric,500,0.0,True
diff__conference__strength_max,antisymmetric,500,0.0,True
diff__conference__strength_percentile,antisymmetric,500,0.0,True
diff__conference__tourney_games,antisymmetric,319,0.0,True
diff__conference__tourney_wins,antisymmetric,319,0.0,True
diff__conference__tourney_last_day,antisymmetric,319,0.0,True
diff__conference__tourney_win_pct,antisymmetric,319,0.0,True
diff__conference__tourney_champion,antisymmetric,319,0.0,True
diff__prior__program_appearances,antisymmetric,500,0.0,True
diff__prior__program_tournament_games,antisymmetric,500,0.0,True
diff__prior__program_tournament_wins,antisymmetric,500,0.0,True
diff__prior__program_win_pct_smoothed,antisymmetric,500,0.0,True
diff__prior__program_final_appearances,antisymmetric,500,0.0,True
diff__prior__program_championships,antisymmetric,500,0.0,True
diff__prior__program_years_since_appearance,antisymmetric,404,0.0,True
diff__prior__program_has_tournament_history,antisymmetric,500,0.0,True
diff__coach__midseason_change,antisymmetric,320,0.0,True
diff__coach__seasons_with_program_through_current,antisymmetric,320,0.0,True
diff__coach__prior_tournament_appearances,antisymmetric,320,0.0,True
diff__coach__prior_tournament_games,antisymmetric,320,0.0,True
diff__coach__prior_tournament_wins,antisymmetric,320,0.0,True
diff__coach__prior_tournament_win_pct_smoothed,antisymmetric,320,0.0,True
diff__coach__prior_final_appearances,antisymmetric,320,0.0,True
diff__coach__prior_championships,antisymmetric,320,0.0,True
diff__coach__years_since_tournament_appearance,antisymmetric,206,0.0,True
diff__coach__has_prior_tournament_history,antisymmetric,320,0.0,True
diff__massey__systems,antisymmetric,168,0.0,True
diff__massey__ordinal_mean,antisymmetric,168,0.0,True
diff__massey__ordinal_median,antisymmetric,168,0.0,True
diff__massey__ordinal_std,antisymmetric,168,0.0,True
diff__massey__ordinal_min,antisymmetric,168,0.0,True
diff__massey__ordinal_max,antisymmetric,168,0.0,True
diff__massey__strength_mean,antisymmetric,168,0.0,True
diff__massey__strength_median,antisymmetric,168,0.0,True
diff__massey__strength_std,antisymmetric,168,0.0,True
diff__massey__strength_min,antisymmetric,168,0.0,True
diff__massey__strength_max,antisymmetric,168,0.0,True
diff__massey__strength_iqr,antisymmetric,168,0.0,True
diff__massey__strength_trim05,antisymmetric,168,0.0,True
diff__massey__rank_improvement_mean,antisymmetric,168,0.0,True
diff__massey__rank_improvement_median,antisymmetric,168,0.0,True
diff__massey__rank_improvement_std,antisymmetric,168,0.0,True
diff__massey__momentum_systems,antisymmetric,168,0.0,True
diff__massey__system_ap,antisymmetric,67,0.0,True
diff__massey__system_bih,antisymmetric,159,0.0,True
diff__massey__system_cng,antisymmetric,153,0.0,True
diff__massey__system_col,antisymmetric,168,0.0,True
diff__massey__system_des,antisymmetric,55,0.0,True
diff__massey__system_dok,antisymmetric,138,0.0,True
diff__massey__system_dol,antisymmetric,168,0.0,True
diff__massey__system_dun,antisymmetric,145,0.0,True
diff__massey__system_mas,antisymmetric,133,0.0,True
diff__massey__system_mor,antisymmetric,168,0.0,True
diff__massey__system_pom,antisymmetric,168,0.0,True
diff__massey__system_rpi,antisymmetric,147,0.0,True
diff__massey__system_rth,antisymmetric,160,0.0,True
diff__massey__system_sag,antisymmetric,168,0.0,True
diff__massey__system_sel,antisymmetric,161,0.0,True
diff__massey__system_usa,antisymmetric,67,0.0,True
diff__massey__system_wil,antisymmetric,136,0.0,True
diff__massey__system_wlk,antisymmetric,168,0.0,True
diff__massey__system_wob,antisymmetric,159,0.0,True
diff__massey__system_wol,antisymmetric,160,0.0,True
diff__geography__games_with_city,antisymmetric,500,0.0,True
diff__geography__city_coverage,antisymmetric,500,0.0,True
diff__geography__distinct_cities,antisymmetric,500,0.0,True
diff__geography__neutral_games_with_city,antisymmetric,500,0.0,True
diff__geography__games_per_distinct_city,antisymmetric,188,0.0,True
diff__seed__number,antisymmetric,500,0.0,True
diff__seed__available,antisymmetric,500,0.0,True
diff__seed__playin,antisymmetric,500,0.0,True
diff__seed__strength,antisymmetric,500,0.0,True
diff__seed__top4,antisymmetric,500,0.0,True
diff__seed__top8,antisymmetric,500,0.0,True
diff__availability__detailed,antisymmetric,500,0.0,True
diff__availability__rich_coverage,antisymmetric,500,0.0,True
diff__availability__massey,antisymmetric,500,0.0,True
diff__availability__coach_history,antisymmetric,500,0.0,True
diff__context__season_centered_2000,antisymmetric,500,0.0,True
diff__context__d1_tenure,antisymmetric,320,0.0,True
diff__norm__compact__win_pct__z,antisymmetric,500,0.0,True
diff__norm__compact__win_pct__pct,antisymmetric,500,0.0,True
diff__norm__compact__margin_mean__z,antisymmetric,500,0.0,True
diff__norm__compact__margin_mean__pct,antisymmetric,500,0.0,True
diff__norm__compact__margin_trim02__z,antisymmetric,500,0.0,True
diff__norm__compact__margin_trim02__pct,antisymmetric,500,0.0,True
diff__norm__detailed__all__net_rtg_ros__z,antisymmetric,253,0.0,True
diff__norm__detailed__all__net_rtg_ros__pct,antisymmetric,253,0.0,True
diff__norm__detailed__clean__net_rtg_ros__z,antisymmetric,253,0.0,True
diff__norm__detailed__clean__net_rtg_ros__pct,antisymmetric,253,0.0,True
diff__norm__detailed__all__efg_ros__z,antisymmetric,253,0.0,True
diff__norm__detailed__all__efg_ros__pct,antisymmetric,253,0.0,True
diff__norm__schedule__rpi__z,antisymmetric,500,0.0,True
diff__norm__schedule__rpi__pct,antisymmetric,500,0.0,True
diff__norm__schedule__opponent_strength_mean__z,antisymmetric,500,0.0,True
diff__norm__schedule__opponent_strength_mean__pct,antisymmetric,500,0.0,True
diff__norm__schedule__quality_win_points_sum__z,antisymmetric,500,0.0,True
diff__norm__schedule__quality_win_points_sum__pct,antisymmetric,500,0.0,True
diff__norm__conference__strength_mean__z,antisymmetric,500,0.0,True
diff__norm__conference__strength_mean__pct,antisymmetric,500,0.0,True
diff__norm__adj__net_rtg_a10p0__z,antisymmetric,253,0.0,True
diff__norm__adj__net_rtg_a10p0__pct,antisymmetric,253,0.0,True
diff__norm__adj__net_rtg_a50p0__z,antisymmetric,253,0.0,True
diff__norm__adj__net_rtg_a50p0__pct,antisymmetric,253,0.0,True
diff__norm__rating__elo_mov_538__z,antisymmetric,500,0.0,True
diff__norm__rating__elo_mov_538__pct,antisymmetric,500,0.0,True
diff__norm__rating__margin_ridge_a25p0__z,antisymmetric,500,0.0,True
diff__norm__rating__margin_ridge_a25p0__pct,antisymmetric,500,0.0,True
diff__norm__rating__bt_c1p0__z,antisymmetric,500,0.0,True
diff__norm__rating__bt_c1p0__pct,antisymmetric,500,0.0,True
diff__norm__rating__colley__z,antisymmetric,500,0.0,True
diff__norm__rating__colley__pct,antisymmetric,500,0.0,True
diff__norm__rating__pagerank_margin__z,antisymmetric,500,0.0,True
diff__norm__rating__pagerank_margin__pct,antisymmetric,500,0.0,True
diff__norm__massey__strength_mean__z,antisymmetric,168,0.0,True
diff__norm__massey__strength_mean__pct,antisymmetric,168,0.0,True
matchup__seed_diff,antisymmetric,500,0.0,True
interaction__adjusted_offense_defense_edge,antisymmetric,253,0.0,True
interaction__shooting_attack_defense_edge,antisymmetric,253,0.0,True
interaction__clean_shooting_attack_defense_edge,antisymmetric,253,0.0,True
interaction__turnover_pressure_edge,antisymmetric,253,0.0,True
interaction__rebounding_matchup_edge,antisymmetric,253,0.0,True
interaction__free_throw_pressure_edge,antisymmetric,253,0.0,True
interaction__strength_gap_squared_signed,antisymmetric,500,0.0,True
mean__compact__games,symmetric,500,0.0,True
absdiff__compact__win_pct,symmetric,500,0.0,True
absdiff__compact__margin_mean,symmetric,500,0.0,True
absdiff__compact__margin_median,symmetric,500,0.0,True
absdiff__compact__margin_std,symmetric,500,0.0,True
mean__compact__margin_std,symmetric,500,0.0,True
absdiff__compact__margin_iqr,symmetric,500,0.0,True
mean__compact__margin_iqr,symmetric,500,0.0,True
absdiff__compact__margin_mad,symmetric,500,0.0,True
mean__compact__margin_mad,symmetric,500,0.0,True
absdiff__compact__margin_q10,symmetric,500,0.0,True
absdiff__compact__margin_q25,symmetric,500,0.0,True
absdiff__compact__margin_q75,symmetric,500,0.0,True
absdiff__compact__margin_q90,symmetric,500,0.0,True
absdiff__compact__margin_trim02,symmetric,500,0.0,True
absdiff__compact__margin_winsor02,symmetric,500,0.0,True
absdiff__compact__margin_slope,symmetric,500,0.0,True
mean__compact__close3_games,symmetric,500,0.0,True
mean__compact__close5_games,symmetric,500,0.0,True
absdiff__compact__rest_days_mean,symmetric,500,0.0,True
mean__compact__rest_days_mean,symmetric,500,0.0,True
absdiff__compact__rest_days_std,symmetric,500,0.0,True
mean__compact__rest_days_std,symmetric,500,0.0,True
absdiff__compact__close3_win_pct,symmetric,459,0.0,True
absdiff__compact__close5_win_pct,symmetric,492,0.0,True
absdiff__compact__days_since_last_game,symmetric,500,0.0,True
mean__compact__days_since_last_game,symmetric,500,0.0,True
absdiff__compact__half_marginmean_first,symmetric,500,0.0,True
absdiff__compact__half_marginmean_second,symmetric,500,0.0,True
absdiff__compact__half_delta_marginmean,symmetric,500,0.0,True
mean__compact__home_games,symmetric,499,0.0,True
absdiff__compact__home_win_pct,symmetric,499,0.0,True
absdiff__compact__home_margin_mean,symmetric,499,0.0,True
absdiff__compact__home_margin_std,symmetric,499,0.0,True
mean__compact__home_margin_std,symmetric,499,0.0,True
mean__compact__away_games,symmetric,500,0.0,True
absdiff__compact__away_win_pct,symmetric,500,0.0,True
absdiff__compact__away_margin_mean,symmetric,500,0.0,True
absdiff__compact__away_margin_std,symmetric,500,0.0,True
mean__compact__away_margin_std,symmetric,500,0.0,True
mean__compact__neutral_games,symmetric,440,0.0,True
absdiff__compact__neutral_win_pct,symmetric,440,0.0,True
absdiff__compact__neutral_margin_mean,symmetric,440,0.0,True
absdiff__compact__neutral_margin_std,symmetric,398,0.0,True
mean__compact__neutral_margin_std,symmetric,398,0.0,True
mean__compact__last5_games,symmetric,500,0.0,True
absdiff__compact__last5_win_pct,symmetric,500,0.0,True
absdiff__compact__last5_margin_mean,symmetric,500,0.0,True
absdiff__compact__last5_margin_median,symmetric,500,0.0,True
absdiff__compact__last5_margin_std,symmetric,500,0.0,True
mean__compact__last5_margin_std,symmetric,500,0.0,True
mean__compact__last10_games,symmetric,500,0.0,True
absdiff__compact__last10_win_pct,symmetric,500,0.0,True
absdiff__compact__last10_margin_mean,symmetric,500,0.0,True
absdiff__compact__last10_margin_median,symmetric,500,0.0,True
absdiff__compact__last10_margin_std,symmetric,500,0.0,True
mean__compact__last10_margin_std,symmetric,500,0.0,True
mean__compact__last20_games,symmetric,500,0.0,True
absdiff__compact__last20_win_pct,symmetric,500,0.0,True
absdiff__compact__last20_margin_mean,symmetric,500,0.0,True
absdiff__compact__last20_margin_median,symmetric,500,0.0,True
absdiff__compact__last20_margin_std,symmetric,500,0.0,True
mean__compact__last20_margin_std,symmetric,500,0.0,True
mean__compact__day90plus_games,symmetric,500,0.0,True
absdiff__compact__day90plus_win_pct,symmetric,500,0.0,True
absdiff__compact__day90plus_margin_mean,symmetric,500,0.0,True
mean__compact__day110plus_games,symmetric,500,0.0,True
absdiff__compact__day110plus_win_pct,symmetric,500,0.0,True
absdiff__compact__day110plus_margin_mean,symmetric,500,0.0,True
mean__compact__day120plus_games,symmetric,500,0.0,True
absdiff__compact__day120plus_win_pct,symmetric,500,0.0,True
absdiff__compact__day120plus_margin_mean,symmetric,500,0.0,True
absdiff__compact__ewm_h5_margin,symmetric,500,0.0,True
absdiff__compact__ewm_h10_margin,symmetric,500,0.0,True
absdiff__compact__ewm_h20_margin,symmetric,500,0.0,True
absdiff__compact__pythag_exp8p0,symmetric,500,0.0,True
absdiff__compact__pythag_exp10p0,symmetric,500,0.0,True
absdiff__compact__pythag_exp11p5,symmetric,500,0.0,True
absdiff__compact__pythag_exp13p91,symmetric,500,0.0,True
absdiff__compact__pythag_residual_exp8p0,symmetric,500,0.0,True
absdiff__compact__pythag_residual_exp10p0,symmetric,500,0.0,True
absdiff__compact__pythag_residual_exp11p5,symmetric,500,0.0,True
absdiff__compact__pythag_residual_exp13p91,symmetric,500,0.0,True
mean__detailed__all__games,symmetric,253,0.0,True
absdiff__detailed__all__off_rtg_ros,symmetric,253,0.0,True
absdiff__detailed__all__def_rtg_ros,symmetric,253,0.0,True
absdiff__detailed__all__net_rtg_ros,symmetric,253,0.0,True
absdiff__detailed__all__pace_ros,symmetric,253,0.0,True
mean__detailed__all__pace_ros,symmetric,253,0.0,True
absdiff__detailed__all__efg_ros,symmetric,253,0.0,True
absdiff__detailed__all__opp_efg_ros,symmetric,253,0.0,True
absdiff__detailed__all__tov_pct_ros,symmetric,253,0.0,True
absdiff__detailed__all__opp_tov_pct_ros,symmetric,253,0.0,True
absdiff__detailed__all__orb_pct_ros,symmetric,253,0.0,True
absdiff__detailed__all__drb_pct_ros,symmetric,253,0.0,True
absdiff__detailed__all__ft_rate_ros,symmetric,253,0.0,True
absdiff__detailed__all__opp_ft_rate_ros,symmetric,253,0.0,True
absdiff__detailed__all__ftmade_rate_ros,symmetric,253,0.0,True
mean__detailed__all__ftmade_rate_ros,symmetric,253,0.0,True
absdiff__detailed__all__opp_ftmade_rate_ros,symmetric,253,0.0,True
mean__detailed__all__opp_ftmade_rate_ros,symmetric,253,0.0,True
absdiff__detailed__all__efg_mean,symmetric,253,0.0,True
absdiff__detailed__all__efg_median,symmetric,253,0.0,True
absdiff__detailed__all__oppefg_mean,symmetric,253,0.0,True
absdiff__detailed__all__oppefg_median,symmetric,253,0.0,True
absdiff__detailed__all__ftmaderate_mean,symmetric,253,0.0,True
mean__detailed__all__ftmaderate_mean,symmetric,253,0.0,True
absdiff__detailed__all__ftmaderate_median,symmetric,253,0.0,True
mean__detailed__all__ftmaderate_median,symmetric,253,0.0,True
absdiff__detailed__all__oppftmaderate_mean,symmetric,253,0.0,True
mean__detailed__all__oppftmaderate_mean,symmetric,253,0.0,True
absdiff__detailed__all__oppftmaderate_median,symmetric,253,0.0,True
mean__detailed__all__oppftmaderate_median,symmetric,253,0.0,True
absdiff__detailed__all__netrtg_std,symmetric,253,0.0,True
mean__detailed__all__netrtg_std,symmetric,253,0.0,True
absdiff__detailed__all__offrtg_std,symmetric,253,0.0,True
mean__detailed__all__offrtg_std,symmetric,253,0.0,True
absdiff__detailed__all__defrtg_std,symmetric,253,0.0,True
mean__detailed__all__defrtg_std,symmetric,253,0.0,True
absdiff__detailed__all__efg_trim02,symmetric,253,0.0,True
absdiff__detailed__all__efg_std,symmetric,253,0.0,True
mean__detailed__all__efg_std,symmetric,253,0.0,True
absdiff__detailed__all__tovpct_std,symmetric,253,0.0,True
mean__detailed__all__tovpct_std,symmetric,253,0.0,True
absdiff__detailed__all__orbpct_std,symmetric,253,0.0,True
mean__detailed__all__orbpct_std,symmetric,253,0.0,True
absdiff__detailed__all__ftrate_std,symmetric,253,0.0,True
mean__detailed__all__ftrate_std,symmetric,253,0.0,True
mean__detailed__clean__games,symmetric,253,0.0,True
absdiff__detailed__clean__off_rtg_ros,symmetric,253,0.0,True
absdiff__detailed__clean__def_rtg_ros,symmetric,253,0.0,True
absdiff__detailed__clean__net_rtg_ros,symmetric,253,0.0,True
absdiff__detailed__clean__pace_ros,symmetric,253,0.0,True
mean__detailed__clean__pace_ros,symmetric,253,0.0,True
absdiff__detailed__clean__efg_ros,symmetric,253,0.0,True
absdiff__detailed__clean__opp_efg_ros,symmetric,253,0.0,True
absdiff__detailed__clean__tov_pct_ros,symmetric,253,0.0,True
absdiff__detailed__clean__opp_tov_pct_ros,symmetric,253,0.0,True
absdiff__detailed__clean__orb_pct_ros,symmetric,253,0.0,True
absdiff__detailed__clean__drb_pct_ros,symmetric,253,0.0,True
absdiff__detailed__clean__ft_rate_ros,symmetric,253,0.0,True
absdiff__detailed__clean__opp_ft_rate_ros,symmetric,253,0.0,True
absdiff__detailed__clean__ftmade_rate_ros,symmetric,253,0.0,True
mean__detailed__clean__ftmade_rate_ros,symmetric,253,0.0,True
absdiff__detailed__clean__opp_ftmade_rate_ros,symmetric,253,0.0,True
mean__detailed__clean__opp_ftmade_rate_ros,symmetric,253,0.0,True
absdiff__detailed__clean__efg_mean,symmetric,253,0.0,True
absdiff__detailed__clean__efg_median,symmetric,253,0.0,True
absdiff__detailed__clean__oppefg_mean,symmetric,253,0.0,True
absdiff__detailed__clean__oppefg_median,symmetric,253,0.0,True
absdiff__detailed__clean__ftmaderate_mean,symmetric,253,0.0,True
mean__detailed__clean__ftmaderate_mean,symmetric,253,0.0,True
absdiff__detailed__clean__ftmaderate_median,symmetric,253,0.0,True
mean__detailed__clean__ftmaderate_median,symmetric,253,0.0,True
absdiff__detailed__clean__oppftmaderate_mean,symmetric,253,0.0,True
mean__detailed__clean__oppftmaderate_mean,symmetric,253,0.0,True
absdiff__detailed__clean__oppftmaderate_median,symmetric,253,0.0,True
mean__detailed__clean__oppftmaderate_median,symmetric,253,0.0,True
absdiff__detailed__clean__netrtg_std,symmetric,253,0.0,True
mean__detailed__clean__netrtg_std,symmetric,253,0.0,True
absdiff__detailed__clean__offrtg_std,symmetric,253,0.0,True
mean__detailed__clean__offrtg_std,symmetric,253,0.0,True
absdiff__detailed__clean__defrtg_std,symmetric,253,0.0,True
mean__detailed__clean__defrtg_std,symmetric,253,0.0,True
absdiff__detailed__clean__efg_trim02,symmetric,253,0.0,True
absdiff__detailed__clean__efg_std,symmetric,253,0.0,True
mean__detailed__clean__efg_std,symmetric,253,0.0,True
absdiff__detailed__clean__tovpct_std,symmetric,253,0.0,True
mean__detailed__clean__tovpct_std,symmetric,253,0.0,True
absdiff__detailed__clean__orbpct_std,symmetric,253,0.0,True
mean__detailed__clean__orbpct_std,symmetric,253,0.0,True
absdiff__detailed__clean__ftrate_std,symmetric,253,0.0,True
mean__detailed__clean__ftrate_std,symmetric,253,0.0,True
mean__detailed__last5__games,symmetric,253,0.0,True
absdiff__detailed__last5__off_rtg_mean,symmetric,253,0.0,True
absdiff__detailed__last5__def_rtg_mean,symmetric,253,0.0,True
absdiff__detailed__last5__net_rtg_mean,symmetric,253,0.0,True
absdiff__detailed__last5__pace_mean,symmetric,253,0.0,True
mean__detailed__last5__pace_mean,symmetric,253,0.0,True
absdiff__detailed__last5__efg_mean,symmetric,253,0.0,True
absdiff__detailed__last5__opp_efg_mean,symmetric,253,0.0,True
absdiff__detailed__last5__tov_pct_mean,symmetric,253,0.0,True
absdiff__detailed__last5__orb_pct_mean,symmetric,253,0.0,True
absdiff__detailed__last5__ft_rate_mean,symmetric,253,0.0,True
mean__detailed__last10__games,symmetric,253,0.0,True
absdiff__detailed__last10__off_rtg_mean,symmetric,253,0.0,True
absdiff__detailed__last10__def_rtg_mean,symmetric,253,0.0,True
absdiff__detailed__last10__net_rtg_mean,symmetric,253,0.0,True
absdiff__detailed__last10__pace_mean,symmetric,253,0.0,True
mean__detailed__last10__pace_mean,symmetric,253,0.0,True
absdiff__detailed__last10__efg_mean,symmetric,253,0.0,True
absdiff__detailed__last10__opp_efg_mean,symmetric,253,0.0,True
absdiff__detailed__last10__tov_pct_mean,symmetric,253,0.0,True
absdiff__detailed__last10__orb_pct_mean,symmetric,253,0.0,True
absdiff__detailed__last10__ft_rate_mean,symmetric,253,0.0,True
mean__detailed__last20__games,symmetric,253,0.0,True
absdiff__detailed__last20__off_rtg_mean,symmetric,253,0.0,True
absdiff__detailed__last20__def_rtg_mean,symmetric,253,0.0,True
absdiff__detailed__last20__net_rtg_mean,symmetric,253,0.0,True
absdiff__detailed__last20__pace_mean,symmetric,253,0.0,True
mean__detailed__last20__pace_mean,symmetric,253,0.0,True
absdiff__detailed__last20__efg_mean,symmetric,253,0.0,True
absdiff__detailed__last20__opp_efg_mean,symmetric,253,0.0,True
absdiff__detailed__last20__tov_pct_mean,symmetric,253,0.0,True
absdiff__detailed__last20__orb_pct_mean,symmetric,253,0.0,True
absdiff__detailed__last20__ft_rate_mean,symmetric,253,0.0,True
absdiff__detailed__ewm_h5__efg,symmetric,253,0.0,True
absdiff__detailed__ewm_h5__oppefg,symmetric,253,0.0,True
absdiff__detailed__ewm_h10__efg,symmetric,253,0.0,True
absdiff__detailed__ewm_h10__oppefg,symmetric,253,0.0,True
absdiff__detailed__ewm_h20__efg,symmetric,253,0.0,True
absdiff__detailed__ewm_h20__oppefg,symmetric,253,0.0,True
mean__detailed__away__games,symmetric,253,0.0,True
absdiff__detailed__away__off_rtg_mean,symmetric,253,0.0,True
absdiff__detailed__away__def_rtg_mean,symmetric,253,0.0,True
absdiff__detailed__away__net_rtg_mean,symmetric,253,0.0,True
absdiff__detailed__away__pace_mean,symmetric,253,0.0,True
mean__detailed__away__pace_mean,symmetric,253,0.0,True
mean__detailed__neutral__games,symmetric,245,0.0,True
absdiff__detailed__neutral__off_rtg_mean,symmetric,245,0.0,True
absdiff__detailed__neutral__def_rtg_mean,symmetric,245,0.0,True
absdiff__detailed__neutral__net_rtg_mean,symmetric,245,0.0,True
absdiff__detailed__neutral__pace_mean,symmetric,245,0.0,True
mean__detailed__neutral__pace_mean,symmetric,245,0.0,True
mean__detailed__home__games,symmetric,252,0.0,True
absdiff__detailed__home__off_rtg_mean,symmetric,252,0.0,True
absdiff__detailed__home__def_rtg_mean,symmetric,252,0.0,True
absdiff__detailed__home__net_rtg_mean,symmetric,252,0.0,True
absdiff__detailed__home__pace_mean,symmetric,252,0.0,True
mean__detailed__home__pace_mean,symmetric,252,0.0,True
absdiff__detailed__poss0p475__off_rtg_mean,symmetric,253,0.0,True
absdiff__detailed__poss0p475__def_rtg_mean,symmetric,253,0.0,True
absdiff__detailed__poss0p475__net_rtg_mean,symmetric,253,0.0,True
absdiff__detailed__poss0p44__off_rtg_mean,symmetric,253,0.0,True
absdiff__detailed__poss0p44__def_rtg_mean,symmetric,253,0.0,True
absdiff__detailed__poss0p44__net_rtg_mean,symmetric,253,0.0,True
absdiff__rating__elo_standard,symmetric,500,0.0,True
absdiff__rating__elo_standard_preseason,symmetric,500,0.0,True
absdiff__rating__elo_standard_delta,symmetric,500,0.0,True
absdiff__rating__elo_standard_z,symmetric,500,0.0,True
absdiff__rating__elo_standard_percentile,symmetric,500,0.0,True
absdiff__rating__elo_mov_log,symmetric,500,0.0,True
absdiff__rating__elo_mov_log_preseason,symmetric,500,0.0,True
absdiff__rating__elo_mov_log_delta,symmetric,500,0.0,True
absdiff__rating__elo_mov_log_z,symmetric,500,0.0,True
absdiff__rating__elo_mov_log_percentile,symmetric,500,0.0,True
absdiff__rating__elo_mov_538,symmetric,500,0.0,True
absdiff__rating__elo_mov_538_preseason,symmetric,500,0.0,True
absdiff__rating__elo_mov_538_delta,symmetric,500,0.0,True
absdiff__rating__elo_mov_538_z,symmetric,500,0.0,True
absdiff__rating__elo_mov_538_percentile,symmetric,500,0.0,True
absdiff__rating__elo_season_reset_mov,symmetric,500,0.0,True
